,Data,Elapsed Time (s),F1 Score,CMI,Recall
0,500,10784.894657373428,0.38095238095238093,0.23580512907786608,0.0
1,500,10923.277687549591,0.3636363636363636,0.12385103027573297,0.0
2,500,7450.003679037094,0.4210526315789474,0.26039374333142784,0.0
3,1000,12675.70549941063,0.21052631578947367,0.12989085862057825,0.4
4,1000,10375.748777389526,0.35294117647058826,0.19949071185769165,0.4
5,1000,9622.125806093216,0.4799999999999999,0.11832767545723276,0.4
6,1500,16698.092992067337,0.4799999999999999,0.08604325628435006,0.4
7,1500,14072.063376426697,0.11764705882352941,0.19430227388227334,0.0
8,1500,11687.4027967453,0.5454545454545454,0.12358272451951446,0.4
9,2000,14191.464872121811,0.1111111111111111,0.12219844487110897,0.0
10,2000,21827.47391963005,0.09523809523809523,0.0968126842252397,0.0
11,2000,15453.50001168251,0.3636363636363636,0.20835199405743365,0.0
12,2500,22045.076709985733,0.09523809523809523,0.07460211415824526,0.0
13,2500,17940.880114793777,0.10526315789473684,0.20895920516763433,0.0
14,2500,16748.673085212708,0.125,0.20827570418830743,0.0
15,3000,17222.07976746559,0.2222222222222222,0.20329979854704472,0.4
16,3000,17632.458734750748,0.3636363636363636,0.13309296218957312,0.0
17,3000,23548.048157691956,0.33333333333333337,0.09746956483890162,0.0
18,3500,18403.464103460312,0.3157894736842105,0.15552362610651127,0.4
19,3500,18133.410328388214,0.11764705882352941,0.18461574628648095,0.0
20,3500,22088.727788686752,0.37037037037037035,0.09425875550729362,0.0
21,4000,23149.325347423553,0.17391304347826084,0.08226820756497132,0.0
22,4000,17003.144983530045,0.2857142857142857,0.1391524956116501,0.4
23,4000,22860.323997974396,0.2727272727272727,0.12583606387025795,0.4
24,4500,23835.32981443405,0.3157894736842105,0.14716726014669343,0.4
25,4500,26853.937414884567,0.2222222222222222,0.16428326059884243,0.4
26,4500,28277.242317438126,0.1,0.0879971047598942,0.0
27,5000,27077.512025117874,0.3157894736842105,0.13963415044719862,0.4
28,5000,22118.712725639343,0.33333333333333337,0.1364548280048241,0.0
29,5000,19364.186409711838,0.3,0.11198729766156548,0.4
