,Data,Elapsed Time (s),F1 Score,CMI,Recall
0,500,4016.996594429016,0.5517241379310345,0.0327893748111836,0.4
1,500,4889.692744970322,0.38095238095238093,0.02798578533142715,0.0
2,500,5853.152256011963,0.5185185185185185,0.017344154186792398,0.4
3,1000,5347.963406801224,0.5,0.03445652980276215,0.4
4,1000,5502.499985456467,0.6086956521739131,0.028430215022222427,0.4
5,1000,5143.923972129822,0.4799999999999999,0.0,0.0
6,1500,5904.108630657196,0.5833333333333334,0.02960717896222853,0.4
7,1500,6380.022551059723,0.37037037037037035,0.0,0.0
8,1500,6554.382660865784,0.5185185185185185,0.033504577205200725,0.4
9,2000,9465.482021093369,0.5,0.020435288891598624,0.4
10,2000,9045.832401037216,0.5384615384615384,0.025088505131178884,0.4
11,2000,9824.58001279831,0.5185185185185185,0.015689775657320215,0.4
12,2500,10195.793732643127,0.5833333333333334,0.02466218724153535,0.4
13,2500,10372.26360630989,0.5384615384615384,0.019285039750745803,0.4
14,2500,9311.161308765411,0.5384615384615384,0.025020542111847455,0.4
15,3000,10968.612185955048,0.56,0.020102088890142866,0.4
16,3000,10935.163200378418,0.6153846153846153,0.02460432962045278,0.4
17,3000,10925.72810959816,0.4615384615384615,0.0,0.0
18,3500,12715.903620004654,0.5185185185185185,0.02832947481661119,0.4
19,3500,12051.49350309372,0.56,0.020587791020209245,0.4
20,3500,12077.923133611679,0.5714285714285715,0.023072337726843806,0.4
21,4000,13847.21995472908,0.5714285714285715,0.03269027074141828,0.4
22,4000,13947.315730810165,0.5,0.028593352434516994,0.4
23,4000,13554.253381252289,0.56,0.025101335877963038,0.4
24,4500,15741.44183397293,0.5833333333333334,0.02648314956588127,0.4
25,4500,12000.086002588272,0.5185185185185185,0.01700635940617401,0.4
26,4500,12960.060235977173,0.5333333333333333,0.012615675783179459,0.4
27,5000,13057.016130924225,0.5925925925925926,0.025500957082405407,0.4
28,5000,13264.36253619194,0.5925925925925926,0.020435839161711655,0.4
29,5000,12741.469047307968,0.56,0.02369470306123045,0.4
