,Data,Elapsed Time (s),F1 Score,CMI,Recall
0,500,4477.046677827835,0.21428571428571425,0.0,0.0
1,500,4484.803076982498,0.32,0.0,0.0
2,500,4391.710490226746,0.56,0.28045827810011775,0.4
3,1000,5871.661475896835,0.3846153846153846,0.0,0.0
4,1000,6020.26171708107,0.5,0.30675567055550085,0.4
5,1000,6391.262192964554,0.5,0.19050726065252094,0.4
6,1500,8124.618178606033,0.3448275862068966,0.07367847261390077,0.4
7,1500,6862.507561206818,0.32,0.06493944482085784,0.4
8,1500,6665.701043844223,0.4166666666666667,0.3702763179869563,0.4
9,2000,8301.091714143753,0.4166666666666667,0.0,0.0
10,2000,8473.316102743149,0.4827586206896552,0.18972693174029426,0.4
11,2000,8452.156761407852,0.4,0.0,0.0
12,2500,9218.54039311409,0.5,0.30723447283942823,0.4
13,2500,9493.425953626633,0.56,0.30913827437753155,0.4
14,2500,9825.835774421692,0.56,0.28348796668781145,0.4
15,3000,11701.554518461227,0.5,0.2782349625706886,0.4
16,3000,9846.429425239563,0.56,0.30062580637670805,0.4
17,3000,9853.79987335205,0.37037037037037035,0.0,0.0
18,3500,11327.976820707321,0.3448275862068966,0.0,0.0
19,3500,11507.471824645996,0.6399999999999999,0.2768051165990582,0.4
20,3500,12119.965502738953,0.56,0.2938343246635528,0.4
21,4000,12933.099274396896,0.4347826086956522,0.3007143584302923,0.0
22,4000,13437.274093151093,0.56,0.3177237055370575,0.4
23,4000,13379.1877617836,0.3870967741935484,0.033806723760282195,0.0
24,4500,13440.734571695328,0.4799999999999999,0.0,0.0
25,4500,13792.661333560944,0.5384615384615384,0.3227146094249236,0.4
26,4500,14497.34836101532,0.3571428571428571,0.0,0.0
27,5000,16400.448667287827,0.4,0.0,0.0
28,5000,16386.122393846512,0.41379310344827586,0.0,0.0
29,5000,16698.291429758072,0.41379310344827586,0.0,0.0
