,Data,Elapsed Time (s),F1 Score,CMI,Recall
0,500,534.6098771095276,0.19999999999999998,0.37348169774630996,0.0
1,500,861.0900721549988,0.5,0.4043702152874393,0.4
2,500,549.345151424408,0.34782608695652173,0.30641254399959345,0.0
3,1000,2864.925369977951,0.4166666666666667,0.3141013277024784,0.0
4,1000,1417.2958617210388,0.3636363636363636,0.4124501042683086,0.0
5,1000,2610.0254142284393,0.4444444444444445,0.3467166335956315,0.8
6,1500,9328.962360620499,0.4347826086956522,0.3177616834171625,0.0
7,1500,6818.591498374939,0.42857142857142855,0.36848154165113534,0.4
8,1500,6841.336323738098,0.4615384615384615,0.3071521677375441,0.4
9,2000,12280.669478654861,0.6,0.2553827409183478,0.4
10,2000,6929.3667781353,0.34782608695652173,0.32943798826185194,0.0
11,2000,13966.189551115036,0.3636363636363636,0.3704099734024064,0.8
12,2500,11798.484504461288,0.42857142857142855,0.25892824308617135,0.4
13,2500,12821.796847105026,0.29629629629629634,0.16912576329875162,0.0
14,2500,13518.941436052322,0.37037037037037035,0.14308166080208162,0.0
15,3000,21752.848018169403,0.37037037037037035,0.31472106443724135,0.4
16,3000,29692.695581436157,0.3076923076923077,0.3376780760742461,0.8
17,3000,14823.623208284378,0.32,0.18216430414209994,0.0
18,3500,20494.93438577652,0.4166666666666667,0.3777221086026639,0.4
19,3500,33807.89565730095,0.16,0.32537919678851795,0.4
20,3500,27943.90699338913,0.4827586206896552,0.3166284685814317,0.8
21,4000,66043.29365611076,0.37037037037037035,0.26384796706753155,0.2
22,4000,26563.060239076614,0.4827586206896552,0.3566123344676413,0.8
23,4000,25686.670345544815,0.34782608695652173,0.3737311794947065,0.8
24,4500,63632.16596698761,0.37037037037037035,0.3213984826966709,0.4
25,4500,66476.25380635262,0.42857142857142855,0.3053734825050781,0.4
26,4500,56627.30592536926,0.5625,0.21417919822341475,0.8
27,5000,69809.02126169205,0.2758620689655173,0.3683324248894804,0.4
28,5000,48199.50451374054,0.29629629629629634,0.25799269173204065,0.0
29,5000,92013.56344866753,0.33333333333333337,0.35426238359260714,0.8
