,Data,Elapsed Time (s),F1 Score,CMI,Recall
0,500,6035.551042795181,0.4210526315789474,0.03791583514962449,0.0
1,500,5380.147781133652,0.5185185185185185,0.049762884273765184,0.4
2,500,4174.122177600861,0.47619047619047616,0.023278629959550212,0.0
3,1000,6424.406358242035,0.5185185185185185,0.03223355413997897,0.4
4,1000,6613.318915843964,0.5384615384615384,0.03213973696282224,0.4
5,1000,5619.46950674057,0.2857142857142857,0.0,1.0
6,1500,7254.149880647659,0.6153846153846153,0.018697732419873603,0.4
7,1500,7551.737825870514,0.34782608695652173,0.0,1.0
8,1500,8262.787056446075,0.6086956521739131,0.023666715849940623,0.4
9,2000,11184.361609458923,0.5714285714285715,0.016553371164087505,0.4
10,2000,9432.089639425278,0.5185185185185185,0.014803549715546982,0.4
11,2000,7093.556229352951,0.4347826086956522,0.0,0.0
12,2500,9443.697937965393,0.5,0.024878593665307314,0.4
13,2500,9109.196643590927,0.56,0.028691822952385593,0.4
14,2500,10751.62077498436,0.3448275862068966,0.0,1.0
15,3000,10061.39108657837,0.3846153846153846,0.0,0.0
16,3000,10053.251138210297,0.5833333333333334,0.02942810550486552,0.4
17,3000,10811.123023748398,0.4166666666666667,0.0,0.0
18,3500,12060.64214682579,0.6153846153846153,0.021175668585055263,0.4
19,3500,12204.605876922607,0.5833333333333334,0.021850722126080413,0.4
20,3500,12093.643400907516,0.4,0.0,0.0
21,4000,12114.378492832184,0.37037037037037035,0.0,1.0
22,4000,14349.23108291626,0.5185185185185185,0.016832115718691032,0.4
23,4000,13767.896328687668,0.5833333333333334,0.031163039700986772,0.4
24,4500,14921.633581399918,0.5833333333333334,0.0240906827814511,0.4
25,4500,14925.317341089249,0.5,0.027079754766329955,0.4
26,4500,15435.505103826523,0.56,0.030794111036198224,0.4
27,5000,16487.09552049637,0.56,0.027966727407007674,0.4
28,5000,16807.222369909286,0.5925925925925926,0.023465008433379175,0.4
29,5000,16047.670746326447,0.56,0.025270692427731944,0.4
