D Particles,X Position,Y Position,Z Position,X Velocity,Y Velocity,Z Velocity,T Velocity
483251.719,11.63829246,9.538292464,14.54679246,11.78964623,8.269146232,14.86914623,33.2205
446941.7958,11.78456112,9.657881608,14.66195399,10.88737366,7.635539292,13.68693145,30.48309906
438878.1271,11.72099527,9.604500152,14.5754676,10.75549182,7.542837917,13.52019056,30.11074081
403289.0088,11.7679372,9.643696172,14.57244525,9.948701276,6.978166702,12.46799585,27.67476576
333786.4595,10.08819381,8.254104317,12.4905002,9.478744634,6.655047243,11.9660536,26.72322598
374481.6494,9.408997634,7.684689642,11.77034871,11.09806348,7.782699755,14.1161034,31.81568013
474865.3865,11.18580681,9.157304516,14.01150237,11.95584549,8.381567388,15.11864143,33.89111132
459757.2338,11.91281363,9.767742586,14.82807447,11.08239428,7.774748214,13.92990736,31.00586222
437590.2936,11.64420094,9.542095236,14.48192971,10.78623026,7.565752352,13.56482333,30.21629729
422430.7476,11.89784481,9.749389443,14.75798186,10.27294037,7.202838339,12.88145636,28.62388311
345091.7685,10.60075976,8.66875578,13.12136027,9.361457737,6.563489014,11.78616252,26.29999951
348441.6059,9.253335851,7.553329975,11.54887044,10.53000559,7.382849182,13.38815999,30.17105506
456066.8093,10.68314775,8.748044437,13.38335708,11.98768997,8.411465782,15.18945167,34.07716066
472592.1925,11.91666979,9.767944453,14.85701964,11.34354013,7.954838836,14.27053937,31.8093537
437195.0048,11.62719758,9.5253367,14.46480426,10.78112186,7.559845608,13.5606162,30.22474393
435035.0885,11.90400008,9.758517367,14.78045192,10.55277596,7.402322787,13.24291953,29.4331385
366174.7802,11.16783155,9.141989874,13.81526617,9.491140495,6.655950617,11.91592692,26.50508326
332859.4789,9.373964251,7.651100777,11.66728563,9.988531686,7.002030163,12.67820735,28.52929888
424033.037,10.05172181,8.214715627,12.60601868,11.75828117,8.242689745,14.93641343,33.63734799
481252.9788,11.76396433,9.638481521,14.69589402,11.63467933,8.156639378,14.66095158,32.74744484
442939.8968,11.74472391,9.628828671,14.60381338,10.84199996,7.607491685,13.62880697,30.33042708
438551.3392,11.77369759,9.646364989,14.63893507,10.70532601,7.505889362,13.45220827,29.95787174
390992.2286,11.61954553,9.521331462,14.37804992,9.775550918,6.858069341,12.25278227,27.19368975
330076.633,9.779711523,7.992173398,12.13134225,9.597047883,6.732401414,12.1421651,27.20858304
390627.3979,9.571476097,7.816606204,11.99019699,11.36084807,7.964377751,14.44936155,32.57889743
480824.1688,11.44230658,9.372280331,14.31816023,11.88272833,8.331760827,15.00519497,33.58142115
452193.0233,11.83932859,9.70311598,14.73470031,10.96090851,7.686656635,13.77881995,30.6889868
438062.3554,11.66772979,9.559385583,14.51305403,10.77251587,7.554083388,13.54643682,30.18402291
414316.1661,11.89631428,9.756811114,14.73208867,10.12644255,7.108117964,12.68701975,28.12338259
337543.6105,10.309854,8.430662766,12.7649097,9.389023041,6.585803212,11.8391069,26.44308642
,,,,,,,
360464.4062,9.280318229,7.573165852,11.60329678,10.82465339,7.586937904,13.77093196,31.06568874
466557.0299,10.93085664,8.944313457,13.70198833,11.98072075,8.398103248,15.16870287,34.05031581
466277.2094,11.94161007,9.792139015,14.8715484,11.20234902,7.859074628,14.08360083,31.35364232
437927.4981,11.65605008,9.55603245,14.49107379,10.7984835,7.577980153,13.57797945,30.22050019
430449.4973,11.95438443,9.804553588,14.82658804,10.43409731,7.322890611,13.08312675,29.03226933
354220.0667,10.87579076,8.898095372,13.45634245,9.398583319,6.590210631,11.8158281,26.32365131
339493.7035,9.26855392,7.563634749,11.55498583,10.26244113,7.193566274,13.04064105,29.38071136
440731.3332,10.34833196,8.459867855,12.98090674,11.88930773,8.33359674,15.08838905,33.95227638
477763.6554,11.87480935,9.733102499,14.81648803,11.48450279,8.05355143,14.45676333,32.24540489
439713.0471,11.69038882,9.583410051,14.53552206,10.80936917,7.584505083,13.59029731,30.25092909
439027.2255,11.8992682,9.761284288,14.77282594,10.66322935,7.485678714,13.38368247,29.71856756
378021.1033,11.41250921,9.349265977,14.11527867,9.61704148,6.747378948,12.06100675,26.78098763
329607.3948,9.519936363,7.771243022,11.83375438,9.774550774,6.851628497,12.39168021,27.85315499
408244.9792,9.80469723,8.009422023,12.29221169,11.59215378,8.125950365,14.73605588,33.21167823
484633.5044,11.69962429,9.596146581,14.61162635,11.79449295,8.278618774,14.86790527,33.1676634
446449.6277,11.78143441,9.656061067,14.65651477,10.8814681,7.632110407,13.6791046,30.46083156
438901.9605,11.72719519,9.609481964,14.58296203,10.75110509,7.539603095,13.51413615,30.09690073
401873.4207,11.752566,9.630905443,14.55222477,9.927494299,6.963334965,12.44150928,27.61594375
332095.9478,10.00913512,8.180829095,12.40491472,9.468999435,6.641445753,11.96228283,26.77132051
375266.1887,9.39237557,7.665054925,11.75976338,11.11435148,7.788984608,14.1413547,31.91103227
475723.3319,11.21691229,9.183155377,14.04919378,11.94902106,8.37676805,15.10765736,33.86125491
459280.9088,11.9196459,9.775441493,14.83268895,11.07393336,7.770630496,13.91747498,30.96410303
437749.3513,11.64964603,9.547007314,14.4880479,10.78710112,7.566700517,13.56539277,30.21451574
422094.2638,11.91795971,9.770126028,14.7758352,10.26534358,7.201097568,12.86827065,28.56652487
345150.428,10.60727246,8.68147931,13.11996038,9.381868232,6.584249995,11.80861854,26.30727671
349169.7727,9.234575084,7.5344282,11.53240637,10.5556934,7.397893999,13.42444286,30.27726926
455843.2873,10.66552872,8.724242009,13.37447324,11.9661952,8.388300122,15.16723087,34.08308343
472186.4629,11.93100677,9.781821755,14.87057215,11.3308673,7.947704496,14.25213048,31.75307971
437557.7483,11.64050243,9.539087124,14.47747558,10.7883597,7.567307548,13.56781721,30.22334563
433899.1192,11.88707981,9.740819267,14.76349037,10.52810612,7.38181565,13.21375317,29.3900093
,,,,,,,
364784.4274,11.13821538,9.117759405,13.77795091,9.479361301,6.648064756,11.90243361,26.4759564
333538.9874,9.360204168,7.640104431,11.65178806,10.02033168,7.024631993,12.72015706,28.62556252
426442.2184,10.09668407,8.253797832,12.66013381,11.78228858,8.261071895,14.96388229,33.68386345
481654.751,11.80065597,9.672786414,14.73441684,11.62794671,8.155284917,14.64782562,32.68909495
441743.769,11.71334545,9.598629829,14.57053106,10.82482315,7.591820526,13.61062355,30.31761623
438356.9252,11.7775395,9.648902899,14.64394233,10.69633206,7.49899763,13.4405571,29.93435206
389326.5977,11.59229277,9.497743992,14.3447045,9.752941922,6.841441968,12.22572842,27.14078898
329448.1022,9.731562629,7.949049512,12.07801722,9.607633964,6.736985976,12.16054665,27.27667103
395947.1289,9.696704486,7.937544846,12.12300358,11.4405449,8.035204881,14.53642066,32.66081101
481198.2585,11.46725136,9.392843433,14.34810524,11.87018079,8.32279742,14.98724733,33.53740794
451828.9964,11.84500922,9.710012437,14.73795542,10.9561226,7.685252222,13.77117185,30.65750868
439470.3879,11.71659849,9.607288551,14.56305028,10.79235859,7.574436739,13.5653616,30.17708375
412749.4929,11.87566702,9.737787607,14.70779948,10.09992161,7.087917124,12.65487325,28.06330705
337747.5984,10.31092806,8.437886512,12.75860948,9.413847079,6.608761038,11.86810466,26.47213232
361744.1444,9.278659988,7.569791871,11.60602035,10.85405525,7.605778529,13.81030895,31.16866363
467687.1305,10.96203696,8.969668205,13.74093638,11.97776274,8.395529235,15.16304293,34.03604512
464602.3537,11.91342869,9.764302731,14.84165253,11.17250764,7.834269202,14.04887184,31.30395033
436429.5176,11.6063888,9.506292878,14.4415172,10.77345988,7.55294419,13.55293527,30.22047555
428947.6191,11.93023362,9.780272695,14.80130889,10.40442032,7.298376958,13.04823049,28.98038425
352898.5262,10.83915541,8.867425153,13.41169966,9.390755084,6.584533972,11.80820418,26.31273702
342204.1297,9.319295011,7.615635673,11.60611098,10.32552204,7.246429249,13.11436933,29.48482314
442475.9585,10.38097081,8.486300189,13.02272312,11.89920884,8.339946657,15.09949335,33.97722231
477074.4033,11.88029832,9.73727502,14.82229942,11.46442966,8.039138821,14.43046561,32.18626137
439440.065,11.68526602,9.579139073,14.52911932,10.80699852,7.582841679,13.58757828,30.24547154
436937.3069,11.84515058,9.706026122,14.71938453,10.62211997,7.447758355,13.33889624,29.68448212
375707.3519,11.35534994,9.296765592,14.05102591,9.585401199,6.720823134,12.02620231,26.73878436
330304.3006,9.512360452,7.767607242,11.8227086,9.808477374,6.877677591,12.43486078,27.93812414
410589.1057,9.842710995,8.042151474,12.3388795,11.62003875,8.146543619,14.76933241,33.27604469
483587.7303,11.68845278,9.581623724,14.6037562,11.76308736,8.251951773,14.83035007,33.11392793
446173.4735,11.78479059,9.66072059,14.65759236,10.87919333,7.63219285,13.67502648,30.4397518
,,,,,,,
439337.9777,11.74761233,9.628659001,14.60467676,10.75342371,7.54317474,13.51467636,30.08200627
400229.7551,11.72875267,9.609801837,14.52340685,9.902519958,6.944715405,12.41132925,27.55756685
331559.7195,9.972146965,8.14955365,12.36153804,9.480945874,6.649274547,11.98043256,26.8218824
377820.0846,9.431387035,7.700891267,11.80501364,11.15762555,7.822362567,14.19342697,32.00505279
476442.9446,11.24495164,9.20603174,14.08364345,11.940257,8.370230919,15.09456364,33.82952332
459737.0277,11.95613098,9.812847956,14.86691207,11.08081495,7.781749666,13.92051402,30.92350487
437966.9451,11.65717454,9.553945963,14.49631513,10.78873308,7.568442935,13.56666617,30.21229471
420543.6891,11.89599268,9.748891544,14.75144739,10.23679128,7.17847543,12.83410281,28.50863905
343928.7943,10.56383958,8.644269304,13.06865445,9.378178337,6.580656818,11.80722485,26.31707768
351736.8697,9.276228429,7.575752655,11.57660885,10.61111585,7.442651904,13.49041801,30.38341142
457999.871,10.7187989,8.771353262,13.43638892,11.9793801,8.400062617,15.17944313,34.08652979
471020.5445,11.92125235,9.771712651,14.85990493,11.30659865,7.928933902,14.2222113,31.69741304
436884.4041,11.61927203,9.518242738,14.45570021,10.77830452,7.557430657,13.55774597,30.22229278
433883.0406,11.90895601,9.761981254,14.78521119,10.5226062,7.380604152,13.20365819,29.34574522
363762.6729,11.12148629,9.106498967,13.75346461,9.474881553,6.64729345,11.89645226,26.44880277
334298.4218,9.348597339,7.631092143,11.63868675,10.05320858,7.048162864,12.76327188,28.72303628
429768.1299,10.16958345,8.320759194,12.7422189,11.81929874,8.292693151,15.00408921,33.72788785
481625.819,11.82462522,9.694497733,14.76002887,11.6150459,8.147819785,14.6285277,32.63041173
440926.4676,11.69389827,9.580333076,14.54924413,10.8138744,7.5822724,13.59876061,30.30579895
438425.9,11.7908323,9.660897473,14.65836164,10.69167029,7.496561147,13.4331172,29.90961137
